esac_id_unique,institution_name,ror_id,institution_first_seen,institution_last_seen
cam2023lyrasis,American University,https://ror.org/052w4zt36,2023-07-17,NA
cam2023lyrasis,Berea College,https://ror.org/05kmcre68,2023-07-17,NA
cam2023lyrasis,Dickinson College - Library,https://ror.org/02ydh7m84,2023-07-17,NA
cam2023lyrasis,Duquesne University - Library,https://ror.org/02336z538,2023-07-17,NA
cam2023lyrasis,Fairfield University - Library,https://ror.org/04z49n283,2023-07-17,NA
cam2023lyrasis,Fort Hays State University,https://ror.org/00rwzgx62,2023-07-17,NA
cam2023lyrasis,Gettysburg College - Library,https://ror.org/045e26x92,2023-07-17,NA
cam2023lyrasis,Hofstra University - Library,https://ror.org/03pm18j10,2023-07-17,NA
cam2023lyrasis,Lafayette College - Library,https://ror.org/036n0x007,2023-07-17,NA
cam2023lyrasis,Middle Tennessee State University - Library,https://ror.org/02n1hzn07,2023-07-17,NA
cam2023lyrasis,Montgomery College - Library,https://ror.org/00b7x1x53,2023-07-17,NA
cam2023lyrasis,Sacred Heart University,https://ror.org/04abjgr86,2023-07-17,NA
cam2023lyrasis,Towson University,https://ror.org/044w7a341,2023-07-17,NA
cam2023lyrasis,Troy University,https://ror.org/029jj9438,2023-07-17,NA
cam2023lyrasis,University of Alaska - Anchorage - Library,https://ror.org/03k3c2t50,2023-07-17,NA
cam2023lyrasis,University of Massachusetts - Boston,https://ror.org/04ydmy275,2023-07-17,NA
cam2023lyrasis,University of North Dakota - Library,https://ror.org/04a5szx83,2023-07-17,NA
cam2023lyrasis,University of Scranton,https://ror.org/05xwb6v37,2023-07-17,NA
cam2023lyrasis,University of South Dakota,https://ror.org/0043h8f16,2023-07-17,NA
cam2023lyrasis,Ursinus College - Library,https://ror.org/02jqn4a25,2023-07-17,NA
cam2023lyrasis,Widener University - Library,https://ror.org/00nsyd297,2023-07-17,NA
cam2023lyrasis,William Paterson University,https://ror.org/00k3ayt93,2023-07-17,NA
iop2023lyrasis,Bryn Mawr College,https://ror.org/05sjwtp51,2023-07-18,NA
iop2023lyrasis,Bucknell University,https://ror.org/00fc1qt65,2023-07-18,NA
iop2023lyrasis,Carnegie Mellon University,https://ror.org/05x2bcf33,2023-07-18,NA
iop2023lyrasis,Dickinson College,https://ror.org/02ydh7m84,2023-07-18,NA
iop2023lyrasis,Drexel University,https://ror.org/04bdffz58,2023-07-18,NA
iop2023lyrasis,Duquesne University,https://ror.org/02336z538,2023-07-18,NA
