esac_id_unique,esac_id,relationship,end_date,c_a_only,data_url,last_reviewed
lww2021crui,lww2021crui,NA,2024-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vR7SD3dz5rDr1xKTmh2x59GfM9u-TG9iKZjVCx9IQG9vBldvJUiGg_fyGZUocjCn0RAaquWSnj3acqQ/pub?gid=684626521&single=true&output=csv,2023-02-21
ecs2022fg,ecs2022fg,NA,2024-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlyCBb8IZEclxsOM7n8zZXVQv6MMlbU00jA-Bb1nSZMT5TBmBNGJXY2_vTc0plzp5BCX5qkvh44EbQ/pub?gid=684626521&single=true&output=csv,2024-05-17
spie2024fg,spie2024fg,NA,2026-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vRnWionrr-7b_Ar__9WBgUUp7Ig6SwtT2wj0zq04kgsAlHfKrdZrESvShKu3DJVk7AROTe_U3IUCFUE/pub?gid=684626521&single=true&output=csv,2024-05-21
degruy2023czelib,degruy2023czelib,NA,2025-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vTpTbGWhZKZ-h1WHHrlI8L_FDGv_xLY-8ey5J31TSNgXVqPObsUueZbTjoH63pMSm6fAx4XH31FMOGq/pub?gid=684626521&single=true&output=csv,2024-05-23
thie2021ger,thie2021ger,NA,2025-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vRK0coOUe_k8OwdeCLpOvJRuXkvv372cxOJTmfvSQJ1SDuKF_oCmS6NjaNe8T5KApaZM4y8YXaI5jwF/pub?gid=684626521&single=true&output=csv,2024-01-23
tf2023czelib,tf2023czelib,NA,2025-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vR35QcU52Q-xNXpqHIxCwYC0NO55ykYmspWxD4nfZ-izPt3vnDPtQiVTk27F2nSKPkPAYJXjgvrHnj6/pub?gid=684626521&single=true&output=csv,2024-06-27
rsc2024slov,rsc2024slov,NA,2024-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vTq3luaeaOfHBwm1cl3m-p8ikG5nCAdbDKHAvgztlYdcvM-QpNHKrLEyUotiLkgF2A0DkJ2e4woiNcz/pub?gid=684626521&single=true&output=csv,2024-07-01
acm2024leiden,acm2024leiden,NA,2026-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vS8iMtoaKKehuY3qpJPfBryFqMHO5qwnV1v2S2afKwV7MdQtX2_AFEMq9kV8KpFmZHv-Vz-yyBdicrW/pub?gid=684626521&single=true&output=csv,2024-07-03
acm2023lyrasis,acm2023lyrasis,NA,2026-06-30,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vQeLLOhM270Gd3-USkk2Nwq3afU6SULIDiCR9BzRRHaEaROmuKDLw0Mv0sjwH47G6r5ebFyEPqQ1X8P/pub?gid=684626521&single=true&output=csv,2024-02-12
cam2023sjtu,cam2023sjtu,NA,2025-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vSoBf0k9GAAh7N2VXi6oUnFNM-6KZ3q_57Mqj6PQ981XYNEIZeyBhy7B75zjagrIGd9YR7ht9ZttNf2/pub?gid=684626521&single=true&output=csv,2024-07-16
cam2024xmu,cam2024xmu,NA,2024-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vTB7fJXazF76A18zUBQ4qk0Z2A7zsToDT830rH-8eviF0Zl2XVmLbTjezGLf8m4CqtXS1JXBTZOcKrZ/pub?gid=684626521&single=true&output=csv,2024-07-16
els2023skelib,els2023skelib,NA,2026-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vSeMtoXLHqgK-Wte6t1RbFi3QEIv_16XtNPzhD46FHw6QCHFKbAT1c9wBx8gU7Ae6Pb6mNUwqzQWaYc/pub?gid=684626521&single=true&output=csv,2024-07-25
cam2023msu,cam2023msu,NA,2026-01-07,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ02OtdSU6JJevgV24qkKlqN6mM2zic8z736TCbZYJDj5bmmQq20liAgiF2Z0bdW5Xh7-rFz0xuQkao/pub?gid=684626521&single=true&output=csv,2024-07-30
acm2021tilburg,acm2021tilburg,NA,2025-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vTPNeRrfsVP8n7RjBQ8arZGxZUjG-Mnfex6q3tQlvsGEIi-LTIQRCKvcSmyXQMq9rJPxQGYj0S2iDUx/pub?gid=684626521&single=true&output=csv,2024-07-11
eme2023czelib,eme2023czelib,NA,2025-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vRelwp6CBRJa8NMFn8ceQIMlLkaBD_Bafu1wulgQItMKR9ytUlG3a63Adj4tvvOGKBWA3XERtNEd0YV/pub?gid=684626521&single=true&output=csv,2024-07-31
acm2021cas,acm2021cas,NA,2025-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vTR8qEw8b-cbOq8qGTwv53XFyGJu6WvI7_E8YZMz3FWtKNbQhnUjZCWz7YtwxQB24eiqAWe4hQuw6sS/pub?gid=684626521&single=true&output=csv,2024-08-01
acm2021hebis,acm2021hebis,NA,2028-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vTBaPl_lW4nI0jFxYMX-uPtnBh058Yn222zDgdCxQeVKr1EMdGTUb_TM6D8saoqUZ6GwNFTDDThzUM1/pub?gid=684626521&single=true&output=csv,2024-08-01
aip2023univie,aip2023univie,NA,2025-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vThxUjqgcob4DIjceeem0oGQpyNhyW-opsfntFNhOAJoAbMWju7yM8IX3pkd7lrrnSnxTp8nDLlqvmb/pub?gid=684626521&single=true&output=csv,2024-07-04
eme2021bibsam,eme2021bibsam,NA,2024-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vSLXgiKEHnyFkLCRlTCE8TbT7DAILtCDK6uk1XN2pSISM7zSV06RCBomWXgCrg7p6AbWgIGNqToUBvP/pub?gid=684626521&single=true&output=csv,2024-07-04
kia2024eisz,kia2024eisz,NA,2026-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vS3PvZ1yf0-Jkdc20M-IUCM9bEKHba0Ko44ThnDpxWFb3MmtLozZhaKq1sFkucnXhun755xMxdkbv3T/pub?gid=684626521&single=true&output=csv,2024-08-01
rup2024univie,rup2024univie,NA,2024-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vS3ykBmEkbewnfSzc7tlrwGLBO_CjY7lwzWLAWlDlyxDHakhwXCvyS-nvbpRVJ9LyURAv3xA1T7lbMw/pub?gid=684626521&single=true&output=csv,2024-07-04
sage2023shedl,sage2023shedl,NA,2024-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vQcDXb9RkAJyA6wsPxQiTs2Bfmhm5J50jIcvaxEyB5T6ef2o5LsJ4cUAkQCHIfzhCsQfA7NlnNt6wrV/pub?gid=684626521&single=true&output=csv,2024-08-01
sn2021ie,sn2021ie,NA,2024-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vSpWF37F_HdkbQuBOTijIrXH_qkY4YiacK9qPhOlJz7icODvXJo2GVqzUsE2Y0e-YUjr8WGW8B6z0Sk/pub?gid=684626521&single=true&output=csv,2024-08-01
sn2022fct,sn2022fct,NA,2024-12-31,yes,https://docs.google.com/spreadsheets/d/e/2PACX-1vSp7ME2h2Oi0xF7HlpVRsLjU_43O8gwmV-Xs_C1DXGkk8x3UNklWPyWgyoVTZD625jUA4Cp9r78efVl/pub?gid=684626521&single=true&output=csv,2024-08-01
